URL,Title,Author,Genres
https://www.goodreads.com/book/show/37514189,දෙපා ලදිමි,Moti Nandi,N/A
https://www.goodreads.com/book/show/34305352,পৃথিবীর শেষ কমিউনিস্ট,Nabarun Bhattacharya,N/A
https://www.goodreads.com/book/show/98917152-upanyas-samagra-vol-v,Upanyas Samagra Vol. V,Ramapada Chowdhury,N/A
https://www.goodreads.com/book/show/18211281,কুঞ্জপুকুরের কাণ্ড,Shirshendu Mukhopadhyay,"Fantasy, Adventure, Childrens"
https://www.goodreads.com/book/show/59793255,শূন্য শুধু শূন্য নয়,Sharadindu Bandyopadhyay,N/A
https://www.goodreads.com/book/show/50738293,কিশোর সমগ্র,Narayan Sanyal,N/A
https://www.goodreads.com/book/show/28226935,কবিতা সমগ্র ৫,Sunil Gangopadhyay,N/A
https://www.goodreads.com/book/show/211980684-the-bucket-list-collection,"The Bucket List Collection: Masterpieces You Should Read Before You Die: Leaves of Grass, Siddhartha, Dubliners, Les Misérables, Don Quixote, Art of War, Middlemarch, Swann's Way…",Johann Wolfgang von Goethe,N/A
https://www.goodreads.com/book/show/40131035,শ্রেষ্ঠ রোমান্টিক উপন্যাস,Humayun Ahmed,N/A
https://www.goodreads.com/book/show/131110157-1504-alokik-nay-lokik-1900-leather-bound,1504 Alokik Nay Lokik 1900 [Leather Bound],Prabir Ghosh,N/A
https://www.goodreads.com/book/show/23526956--,এলেবেলে - দ্বিতীয় পর্ব,Humayun Ahmed,"Humor, Comedy, Nonfiction"
https://www.goodreads.com/book/show/98908247-chansons-de-kabir-traduit,Chansons de Kabir (traduit),Rabindranath Tagore,N/A
https://www.goodreads.com/book/show/28161359,শেষ সওগত,Kazi Nazrul Islam,N/A
https://www.goodreads.com/book/show/21409635,रवीन्द्रनाथ टैगोर की श्रेष्ट कहानियाँ,Rabindranath Tagore,N/A
https://www.goodreads.com/book/show/35972197,আত্মস্মৃতি এবং কয়েকটি কবিতা,Pablo Neruda,N/A
https://www.goodreads.com/book/show/130652098-gora,Gora,Rabindranath Tagore,N/A
https://www.goodreads.com/book/show/22583616,বিচিত্র প্রবন্ধ,Rabindranath Tagore,N/A
URL,Title,Author,Genres
https://www.goodreads.com/book/show/20746307,শৈল রহস্য,Sharadindu Bandyopadhyay,"Detective, Thriller, Classics"
https://www.goodreads.com/book/show/35056299,মান্ডুর রুপমতী,Buddhadeb Guha,N/A
https://www.goodreads.com/book/show/36105449,হুমায়ূন আহমেদের স্বনির্বাচিত উপন্যাস,Humayun Ahmed,N/A
https://www.goodreads.com/book/show/34326121,রুপোর টাকা,Adrish Bardhan,N/A
https://www.goodreads.com/book/show/25683066,নবজাগরণের নায়কেরা,Sanjib Chattopadhyay,N/A
https://www.goodreads.com/book/show/53317914,শ্রেষ্ঠ গল্প,Narayan Gangopadhyay,N/A
https://www.goodreads.com/book/show/35173104,বুদ্ধদের বসুর প্রবন্ধসমগ্র ১,Buddhadeva Bose,N/A
https://www.goodreads.com/book/show/17159575,অলৌকিক নয় লৌকিক,Prabir Ghosh,Nonfiction
https://www.goodreads.com/book/show/32126149--,ঋজুদার সঙ্গে সুফ্‌কর-এ,Buddhadeb Guha,Fiction
https://www.goodreads.com/book/show/17834552,জগমগি,Buddhadeb Guha,N/A
https://www.goodreads.com/book/show/132650222-boundless-sky,Boundless Sky,Rabindranath Tagore,N/A
https://www.goodreads.com/book/show/17880331--,দেশ-দেশান্তরের কবিতা,Buddhadeva Bose,N/A
https://www.goodreads.com/book/show/159755352-upanishad-in-the-eyes-of-rabindra-nath-tagore,"Upanishad in the eyes of Rabindra Nath Tagore: An anthology of the poet Tagore's writings, interpretative of and related to Upanishadic verse",Rabindranath Tagore,N/A
https://www.goodreads.com/book/show/89090448-uponnash-shomogro-ssh--6,Uponnash Shomogro [Ssh] -6,Syed Shamsul Haque,N/A
https://www.goodreads.com/book/show/17054984-satyajit-ray-on-cinema,Satyajit Ray on Cinema,Satyajit Ray,"Film, Nonfiction"
https://www.goodreads.com/book/show/48570936,সতীনাথ ভাদুড়ীর শ্রেষ্ঠ গল্প,Satinath Bhaduri,N/A
https://www.goodreads.com/book/show/37666978,অর্ধেক মানবী,Sunil Gangopadhyay,N/A
https://www.goodreads.com/book/show/211047489-mahajan,Mahajan,Bimal Mitra,N/A
https://www.goodreads.com/book/show/39694977,বৈশাখে রচিত পংক্তিমালা,Syed Shamsul Haque,N/A
https://www.goodreads.com/book/show/617705.Music_Is_a_Hungry_Ghost,Music Is a Hungry Ghost,W.B. Yeats,N/A
https://www.goodreads.com/book/show/36692093,N/A,N/A,N/A
https://www.goodreads.com/book/show/141796847-chobir-deshe-kobitar-deshe,Chobir Deshe Kobitar Deshe | ছবির দেশে কবিতার দেশে,Sunil Gangopadhyay,Travel
https://www.goodreads.com/book/show/25741871,উপন্যাস সমগ্র ৭,Sunil Gangopadhyay,N/A
https://www.goodreads.com/book/show/18814266,আকাশ দস্যু,Sunil Gangopadhyay,N/A
https://www.goodreads.com/book/show/203362591-the-bucket-list-collection,"The Bucket List Collection: Masterpieces You Should Read Before You Die: Leaves of Grass, Siddhartha, Dubliners, Les Misérables, Don Quixote, Art of War, Middlemarch, Swann's Way…",Johann Wolfgang von Goethe,N/A
https://www.goodreads.com/book/show/26875870,ভ্রমণ সমগ্র,Nabaneeta Dev Sen,Travel
https://www.goodreads.com/book/show/17828603,ইন্দ্রাণী,Achintyakumar Sengupta,N/A
https://www.goodreads.com/book/show/23479518,মানুষের মা,Samaresh Majumdar,N/A
https://www.goodreads.com/book/show/109064453-kishor-anondo-10,Kishor Anondo-10,Abdullah Abu Sayeed,N/A
https://www.goodreads.com/book/show/52276705,ছেঁড়া ক্যানভাস,Buddhadeb Guha,N/A
https://www.goodreads.com/book/show/55076240,বাসনাকুসুম,Buddhadeb Guha,N/A
https://www.goodreads.com/book/show/19146927,ইতিহাস ও সমাজচিন্তা,Ahmed Sharif,N/A
